x,x_se,y
-0.338790,0.677377,1.493383
1.729311,0.797617,2.317592
0.429412,0.719969,0.201387
0.776376,0.589092,0.449271
0.139922,0.765799,0.290200
-0.636106,0.616456,-0.729458
0.294979,0.556281,0.199573
0.863985,0.628886,0.618598
0.105694,0.804224,1.094389
-1.073143,0.759142,-0.177988
-0.010746,0.663751,0.712536
-1.962718,0.840216,-1.829097
0.903172,0.684628,0.937728
0.565279,0.655400,0.902776
3.198587,0.687607,2.301771
-0.402813,0.659716,-0.087491
1.328934,0.636301,1.047543
2.739538,0.704295,2.185231
-2.183082,0.803862,-1.222064
-0.914525,0.574917,-0.578189
0.771095,0.602355,0.468501
-0.427337,0.600413,-0.985256
-0.386549,0.558267,0.512321
1.182207,0.599743,2.990906
-0.049728,0.845542,0.995268
-1.082715,0.633000,-1.314748
-0.273626,0.557530,-0.697428
0.157573,0.626343,1.861476
-1.888354,0.670198,-2.243984
3.492842,0.699321,2.502096
-2.442081,0.822793,-2.740847
-0.940287,0.751198,-1.286021
-0.505817,0.809336,-1.701609
0.001619,0.557587,0.553883
0.227294,0.627426,-0.241319
0.750222,0.775335,0.114653
0.515401,0.753938,1.276641
-0.198656,0.780249,-0.032828
-1.491294,0.781845,-1.339775
-0.675121,0.803661,-1.054975
-1.563015,0.723624,-0.222671
-1.721785,0.598374,-1.029842
0.395333,0.597479,-0.097114
-0.123519,0.733508,0.578042
1.586966,0.797953,1.398391
-0.055891,0.665481,-0.485723
-0.316981,0.662782,0.481638
-1.825391,0.809034,-0.350149
-0.758605,0.662426,-0.657945
-0.082743,0.595768,-0.888972
-0.467875,0.820258,-0.184899
0.684050,0.778927,0.304875
-0.140513,0.767859,-0.819736
0.143352,0.594803,0.373980
-1.723644,0.572761,-0.402018
0.451882,0.620269,0.457728
-1.756090,0.582095,-2.115666
-0.885635,0.757628,-0.296421
0.894887,0.628389,0.346251
-0.345522,0.703829,0.660414
-1.042465,0.559782,-1.368103
-0.226672,0.742739,-1.014371
1.560999,0.720782,1.737405
0.860077,0.629423,0.633108
1.137020,0.579191,1.058396
1.552827,0.740276,1.897891
1.371595,0.843910,0.642740
0.608854,0.565473,0.818247
0.330986,0.759676,0.577672
-1.006519,0.694598,-0.153819
-0.476943,0.705533,-0.576739
-0.394990,0.781762,0.166728
0.577407,0.832522,1.254774
1.061693,0.624409,0.473311
-0.908193,0.833777,-0.722249
0.534299,0.630208,0.522903
0.185936,0.637893,0.917307
0.087685,0.568197,-1.070964
-0.789854,0.837290,-0.141723
0.727311,0.558657,2.265863
