group,y
1,1.272157
1,-0.828087
1,-0.097925
1,-0.753683
1,-1.076325
1,-2.482943
2,0.399030
2,-0.737574
2,0.077779
2,0.505096
2,2.091077
2,-1.529578
3,0.232830
3,-1.058307
3,-0.551793
3,-2.276100
3,-0.330673
3,-1.297142
4,-2.310432
4,-1.196865
4,-0.470977
4,-1.533315
4,-2.568532
4,-2.137829
5,-1.432672
5,1.754932
5,1.156426
5,0.715063
5,-0.539410
5,-0.952062
6,-0.702603
6,-0.639753
6,0.672904
6,0.142794
6,0.274474
6,1.189631
7,2.365107
7,1.994034
7,1.060892
7,3.905592
7,2.430145
7,0.872091
8,3.444556
8,1.399464
8,-0.130807
8,0.801652
8,1.185855
8,-0.089813
