group,y
1,-3.393952
1,-1.713511
1,-2.962058
1,-3.053047
1,-2.556620
1,-3.618810
2,1.948281
2,1.628952
2,1.178789
2,2.617467
2,2.482962
2,2.486267
3,-0.700110
3,-2.426912
3,-0.563787
3,-1.366177
3,0.207976
3,-1.706405
4,1.092293
4,1.465206
4,0.842456
4,1.410437
4,0.702403
4,1.043173
5,1.210027
5,0.269798
5,-0.511273
5,0.029673
5,0.791115
5,0.088654
6,1.105210
6,-0.099940
6,-0.040698
6,-1.096731
6,0.413903
6,-0.370984
7,-0.048820
7,0.558874
7,-0.237610
7,-0.577751
7,-1.449464
7,0.274663
8,-0.688068
8,-0.136455
8,0.105785
8,0.180830
8,1.309756
8,0.296966
