x,y
-0.659114,-0.691432
-2.969687,-4.067462
0.390763,1.072801
1.122937,
-0.724504,-0.603518
-0.129784,-0.399082
-0.185087,0.034622
-0.361127,0.060663
-0.406470,-0.415769
1.573548,
-0.353710,-0.158647
0.358132,0.109696
-0.676390,-0.302934
-1.315501,-1.553389
-0.532483,-0.992217
-0.563354,-0.365672
1.428066,
-0.954797,-1.609122
1.009221,0.577313
-1.168278,-1.118743
1.384441,
0.448107,0.424141
-0.420345,-0.381286
-1.714445,-1.530970
-0.665504,-0.675262
-0.087407,-0.355147
-0.572654,0.354514
1.626075,
-0.101258,0.096205
0.653451,0.683143
-0.407083,-0.844000
-0.915888,-0.958288
-1.323861,-1.126743
-0.144491,0.155329
0.220437,-0.170235
-0.726666,-0.639014
1.542075,
0.491455,0.167618
-0.122486,-0.190163
-0.017322,0.033814
-1.342789,-1.760347
-0.319755,-0.924546
-1.873736,-2.209553
-0.828046,-1.124085
-0.342344,-0.165829
0.644958,0.327914
-0.281544,0.202104
-0.009406,0.890548
0.253226,-0.281781
0.052920,-0.019133
1.114973,
-1.248184,-1.759415
-0.723993,-0.082587
1.513257,
-1.405674,-1.851356
1.124081,0.894988
-0.666454,-0.716986
2.385673,
1.199014,
0.901807,0.401384
0.554037,0.791373
0.946187,0.910672
1.181846,
0.108880,-0.039868
-1.536526,-1.136220
-0.407792,-0.226418
-2.464112,-2.096637
2.122695,
-0.922946,-0.600777
-0.036735,-0.458224
-0.300302,-0.448168
-0.048545,-0.203636
1.029475,0.473985
-0.018294,-0.246107
-1.221039,-1.884316
1.052844,
2.185848,
-1.251686,-0.939490
-0.869689,-1.200425
0.438639,0.408023
0.723645,0.951596
-0.576069,-0.253316
0.801362,
-1.347101,-0.628878
0.673777,0.568593
-0.120923,0.033121
-1.143250,-1.365245
-2.457106,-3.136259
-1.532489,-1.391749
0.087542,-0.109806
0.671443,
1.795880,
-1.546140,-1.326506
-1.273019,-2.339202
-0.705996,-1.049934
0.229591,0.682055
-0.386194,-0.735158
-1.926877,-2.197102
-0.791009,-1.209201
0.532472,0.491266
